model,seed,f1_macro,roc_auc,auprc
CircMAC,1,0.7432679913671912,0.8943195189798435,0.5111363862748012
CircMAC,2,0.7440314637184304,0.8895204777408565,0.5122123652585793
CircMAC,3,0.74949261475451,0.9006712885168086,0.5313240854630275
Transformer,1,0.6168911957344746,0.7553770571900434,0.22182280279950065
Transformer,2,0.6024787409730281,0.7541615829896037,0.20180888398465646
Transformer,3,0.5979940748536583,0.750297709138734,0.19556125948453207
Mamba,1,0.7205620682734364,0.8187383820427623,0.44127730396665643
Mamba,2,0.7158897414901157,0.816110994212583,0.42945027706993705
Mamba,3,0.7192738208481945,0.8177368404809618,0.4381638143603358
LSTM,1,0.6669893753124089,0.812094198795638,0.3312800217834811
LSTM,2,0.6647934877998324,0.8030596815111702,0.3211090166267795
LSTM,3,0.6701272116817915,0.8066639777785738,0.32802195099520187
Hymba,1,0.7100642389896445,0.8362739674736508,0.4320310288368758
Hymba,2,0.6476231697724607,0.8159905656979428,0.3009236909088049
Hymba,3,0.7065374011880425,0.8388490004948678,0.41337954049553005
