model,group,seed,f1_macro,roc_auc,auprc,f1_pos,mode
RNABERT,frozen,1,0.502439,0.511311,0.099617,0.103198,frozen
RNABERT,frozen,2,0.496813,0.518778,0.100061,0.1288,frozen
RNABERT,frozen,3,0.496207,0.532659,0.10612,0.059113,frozen
RNAErnie,frozen,1,0.486656,0.468623,0.079594,0.090423,frozen
RNAErnie,frozen,2,0.49327,0.470147,0.080795,0.076363,frozen
RNAErnie,frozen,3,0.480297,0.455427,0.075113,0.015742,frozen
RNAMSM,frozen,1,0.501623,0.523515,0.059607,0.062973,frozen
RNAMSM,frozen,2,0.519531,0.571168,0.074043,0.112732,frozen
RNAMSM,frozen,3,0.508569,0.532918,0.064012,0.087192,frozen
RNA-FM,frozen,1,0.517183,0.560838,0.07069,0.103511,frozen
RNA-FM,frozen,2,0.509635,0.543406,0.065675,0.0691,frozen
RNA-FM,frozen,3,0.50246,0.531983,0.061119,0.07669,frozen
RNABERT,fine-tuned,1,0.552682,0.613831,0.154062,0.200353,fine-tuned
RNABERT,fine-tuned,2,0.562354,0.656272,0.169606,0.227504,fine-tuned
RNABERT,fine-tuned,3,0.530238,0.585281,0.133648,0.134013,fine-tuned
RNAErnie,fine-tuned,1,0.562199,0.668689,0.174512,0.186763,fine-tuned
RNAErnie,fine-tuned,2,0.545898,0.655511,0.152064,0.155352,fine-tuned
RNAErnie,fine-tuned,3,0.563567,0.67196,0.167071,0.229299,fine-tuned
RNAMSM,fine-tuned,1,0.530153,0.609322,0.084474,0.119484,fine-tuned
RNAMSM,fine-tuned,2,0.548323,0.619891,0.101375,0.14802,fine-tuned
RNAMSM,fine-tuned,3,0.522607,0.56908,0.075532,0.1034,fine-tuned
RNA-FM,fine-tuned,1,0.5417,0.596477,0.091755,0.131988,fine-tuned
RNA-FM,fine-tuned,2,0.561969,0.647577,0.120832,0.175722,fine-tuned
RNA-FM,fine-tuned,3,0.556207,0.628408,0.109476,0.165107,fine-tuned
CircMAC,proposed,1,0.528954,0.733284,0.132395,0.093883,proposed
CircMAC,proposed,2,0.58222,0.755157,0.160727,0.207093,proposed
CircMAC,proposed,3,0.573338,0.72406,0.154405,0.188051,proposed
