model,group,seed,f1_macro,roc_auc,auprc,f1_pos
No PT,baseline,1,0.551929,0.687261,0.115039,0.157883
No PT,baseline,2,0.547745,0.738957,0.145644,0.131967
No PT,baseline,3,0.57278,0.740575,0.148976,0.189385
MLM,single,1,0.515618,0.742936,0.134678,0.064362
MLM,single,2,0.614273,0.795094,0.200641,0.282308
MLM,single,3,0.597247,0.74397,0.168992,0.245257
NTP,single,1,0.517968,0.743082,0.121698,0.071779
NTP,single,2,0.583824,0.745681,0.150301,0.222685
NTP,single,3,0.559338,0.712982,0.122433,0.19018
SSP,single,1,0.536411,0.769628,0.151976,0.107065
SSP,single,2,0.594236,0.764132,0.198157,0.224218
SSP,single,3,0.602354,0.781143,0.193795,0.24781
Pairing,single,1,0.528954,0.733284,0.132395,0.093883
Pairing,single,2,0.58222,0.755157,0.160727,0.207093
Pairing,single,3,0.573338,0.72406,0.154405,0.188051
Pairing,single,1,0.528954,0.733284,0.132395,0.093883
Pairing,single,2,0.58222,0.755157,0.160727,0.207093
Pairing,single,3,0.573338,0.72406,0.154405,0.188051
MLM+NTP,combination,1,0.558648,0.741792,0.136147,0.160859
MLM+NTP,combination,2,0.592096,0.750072,0.167447,0.234368
MLM+NTP,combination,3,0.566834,0.719803,0.12408,0.20235
MLM+SSP,combination,1,0.562194,0.730354,0.134766,0.173875
MLM+SSP,combination,2,0.613191,0.792971,0.189937,0.280892
MLM+SSP,combination,3,0.614673,0.76119,0.199468,0.276902
All,combination,1,0.549062,0.70243,0.110361,0.17202
All,combination,2,0.598484,0.776027,0.172096,0.250632
All,combination,3,0.603011,0.76411,0.183178,0.257247
