model,group,seed,f1_macro,roc_auc,auprc,f1_pos
LSTM,encoder,1,0.548195,0.664681,0.106461,0.151691
LSTM,encoder,2,0.580031,0.702132,0.153323,0.202701
LSTM,encoder,3,0.541982,0.618723,0.092612,0.140842
Transformer,encoder,1,0.507427,0.598827,0.074367,0.058486
Transformer,encoder,2,0.535563,0.625149,0.092005,0.119748
Transformer,encoder,3,0.528102,0.597548,0.081086,0.111713
Mamba,encoder,1,0.595355,0.726161,0.171507,0.243026
Mamba,encoder,2,0.598825,0.739263,0.174081,0.252855
Mamba,encoder,3,0.568585,0.642401,0.118646,0.196092
Hymba,encoder,1,0.608785,0.754137,0.205742,0.264212
Hymba,encoder,2,0.557593,0.696417,0.119797,0.173585
Hymba,encoder,3,0.566265,0.707127,0.129136,0.191545
CircMAC,encoder,1,0.558279,0.705548,0.124411,0.171262
CircMAC,encoder,2,0.565452,0.755098,0.162692,0.168171
CircMAC,encoder,3,0.555798,0.728258,0.147102,0.148166
CircMAC,encoder,1,0.558279,0.705548,0.124411,0.171262
CircMAC,encoder,2,0.565452,0.755098,0.162692,0.168171
CircMAC,encoder,3,0.555798,0.728258,0.147102,0.148166
CircMAC,encoder,1,0.558279,0.705548,0.124411,0.171262
CircMAC,encoder,2,0.565452,0.755098,0.162692,0.168171
CircMAC,encoder,3,0.555798,0.728258,0.147102,0.148166
