group,model,seed,f1_macro
interaction,Cross-Attn,1,0.7442909548975972
interaction,Cross-Attn,2,0.7423088122235013
interaction,Cross-Attn,3,0.7503284152073622
interaction,Concat,1,0.7245504764628948
interaction,Concat,2,0.7077715070433644
interaction,Concat,3,0.7240106979346468
interaction,Elementwise,1,0.7136353399619291
interaction,Elementwise,2,0.7182233392787881
interaction,Elementwise,3,0.6927997016136841
head,Conv1D,1,0.7446642238492275
head,Conv1D,2,0.7438682615531489
head,Conv1D,3,0.7470719437608984
head,Linear,1,0.7402981198000678
head,Linear,2,0.7412575233486378
head,Linear,3,0.7417516811327394
