model,group,seed,f1_macro,roc_auc,auprc,f1_pos
CircMAC,full,1,0.558279,0.705548,0.124411,0.171262
CircMAC,full,2,0.565452,0.755098,0.162692,0.168171
CircMAC,full,3,0.555798,0.728258,0.147102,0.148166
CircMAC,full,1,0.558279,0.705548,0.124411,0.171262
CircMAC,full,2,0.565452,0.755098,0.162692,0.168171
CircMAC,full,3,0.555798,0.728258,0.147102,0.148166
CircMAC,full,1,0.558279,0.705548,0.124411,0.171262
CircMAC,full,2,0.565452,0.755098,0.162692,0.168171
CircMAC,full,3,0.555798,0.728258,0.147102,0.148166
w/o Attn,remove,1,0.493802,0.694621,0.103588,0.018481
w/o Attn,remove,2,0.486735,0.605479,0.083097,0.002517
w/o Attn,remove,3,0.552254,0.722216,0.120265,0.159529
w/o Conv,remove,1,0.558009,0.674038,0.122741,0.168832
w/o Conv,remove,2,0.518758,0.593351,0.076152,0.092028
w/o Conv,remove,3,0.532752,0.618933,0.087186,0.122069
w/o Mamba,remove,1,0.506467,0.552306,0.065262,0.087487
w/o Mamba,remove,2,0.49853,0.436208,0.050141,0.044525
w/o Mamba,remove,3,0.520687,0.608449,0.078213,0.101563
w/o CircBias,remove,1,0.558601,0.703168,0.126954,0.170969
w/o CircBias,remove,2,0.562615,0.738567,0.155023,0.162935
w/o CircBias,remove,3,0.566966,0.729814,0.148634,0.173717
Mamba Only,single,1,0.527449,0.649677,0.086941,0.133654
Mamba Only,single,2,0.511403,0.54376,0.065063,0.090266
Mamba Only,single,3,0.534207,0.643667,0.092241,0.133827
CNN Only,single,1,0.517863,0.563353,0.07115,0.104157
CNN Only,single,2,0.485557,0.420396,0.045093,0.001121
CNN Only,single,3,0.491689,0.461096,0.050127,0.028028
Attn Only,single,1,0.510157,0.539243,0.064628,0.075081
Attn Only,single,2,0.53962,0.643011,0.096966,0.141471
Attn Only,single,3,0.535141,0.631412,0.092794,0.148397
