model,group,seed,f1_macro
No PT,baseline,1,0.7332690188921154
No PT,baseline,2,0.744296977255213
No PT,baseline,3,0.7436507804644162
MLM,single,1,0.7566438029216803
MLM,single,2,0.7614593976181159
MLM,single,3,0.7574383995591405
NTP,single,1,0.7140206792296631
NTP,single,2,0.7201161723423015
NTP,single,3,0.6905029832112524
SSP,single,1,0.7370398701697027
SSP,single,2,0.7405959930707849
SSP,single,3,0.7372379437206888
CPCL,single,1,0.7591644472555112
CPCL,single,2,0.7592931493574757
CPCL,single,3,0.7649382933715018
Pairing,single,1,
Pairing,single,2,
Pairing,single,3,
All,combo,1,0.68695134527073
All,combo,2,0.707954175535946
All,combo,3,0.7077695283120038
MLM+NTP,combo,1,0.6936558447613961
MLM+NTP,combo,2,0.6985307925219926
MLM+NTP,combo,3,0.6930930115247391
MLM+SSP,combo,1,0.7357295252267595
MLM+SSP,combo,2,0.740534174289705
MLM+SSP,combo,3,0.7404630830030529
MLM+CPCL,combo,1,
MLM+CPCL,combo,2,
MLM+CPCL,combo,3,
MLM+CPCL+SSP,combo,1,
MLM+CPCL+SSP,combo,2,
MLM+CPCL+SSP,combo,3,
