split,tool,n,pos_rate,auroc,auprc,f1_macro,precision,recall,mcc
pair,miRanda,4311120,0.0564,0.5093,0.0574,0.1091,0.0574,0.9604,0.0185
pair,RNAhybrid,4311120,0.0564,0.7241,0.1193,0.5514,0.1487,0.6814,0.2362
pair,TargetScan,4311120,0.0564,0.5,0.0564,0.4855,0.0,0.0,0.0
pair,PITA,4311120,0.0564,0.5912,0.1983,0.6377,0.8012,0.185,0.3709
pair,IntaRNA,4311120,0.0564,0.4909,0.0559,0.4873,0.0277,0.0165,-0.0232
iso,miRanda,4816343,0.0509,0.5111,0.052,0.0947,0.052,0.9747,0.0232
iso,RNAhybrid,4816343,0.0509,0.7032,0.0951,0.5107,0.1147,0.6933,0.1935
iso,TargetScan,4816343,0.0509,0.5,0.0509,0.4869,0.0,0.0,0.0
iso,PITA,4816343,0.0509,0.5954,0.1934,0.643,0.7551,0.1941,0.3689
iso,IntaRNA,4816343,0.0509,0.4901,0.0505,0.4863,0.0191,0.0113,-0.0255
bsj,miRanda,4738587,0.0517,0.5112,0.0528,0.1013,0.0528,0.9684,0.0222
bsj,RNAhybrid,4738587,0.0517,0.7032,0.0968,0.5133,0.117,0.6902,0.1955
bsj,TargetScan,4738587,0.0517,0.5,0.0517,0.4867,0.0,0.0,0.0
bsj,PITA,4738587,0.0517,0.5947,0.1932,0.642,0.755,0.1928,0.3674
bsj,IntaRNA,4738587,0.0517,0.4897,0.0513,0.4857,0.0185,0.0109,-0.0266
