isoform_ID,miRNA_ID,length,n_segments
"chr6|130955105,130955994|130955317,130956499|-",hsa-miR-6810-3p,719,1
"chr1|35901474,35901948,35902204|35901593,35902079,35902337|+",hsa-miR-1231,386,1
"chr12|101356554,101356926,101361962,101363576,101365459,101366558|101356693,101357082,101362060,101363743,101365625,101366699|+",hsa-miR-6812-5p,873,1
"chr1|112591525,112597971,112600794,112610841|112591603,112598086,112600848,112611003|-",hsa-miR-337-3p,413,1
"chr22|40868999,40870048,40881770,40882155|40869115,40870139,40881823,40882177|+",hsa-miR-3620-5p,286,1
"chr7|44624317,44645327,44647444|44624565,44645518,44647534|+",hsa-miR-6754-5p,532,1
"chr1|222835119,222836996,222837219|222835215,222837066,222837325|+",hsa-miR-4514,275,1
"chr12|31398175,31399654,31402498,31409263,31413436,31415367|31398362,31399772,31402643,31409384,31413564,31415448|-",hsa-miR-608,786,1
"chr3|100794923,100796409,100799224,100803114,100804792,100808161|100795003,100796468,100799337,100803206,100804866,100808235|-",hsa-miR-6827-5p,498,1
"chr1|42227883,42265115,42278348|42227966,42265189,42278672|-",hsa-miR-4778-3p,484,1
"chr16|98145,100372|98301,100509|-",hsa-miR-500b-3p,295,1
"chr7|130495368,130497156,130497936,130498139,130498419,130499875,130500462,130502644,130503933|130495522,130497235,130498013,130498275,130498477,130499915,130500532,130502720,130503996|+",hsa-miR-302a-3p,762,1
"chr2|134344930,134349805,134362275,134402988,134412869|134345064,134349938,134362408,134403137,134413015|+",hsa-miR-3147,700,1
"chr11|64193078,64194189,64194479,64195645|64193287,64194330,64194620,64195813|+",hsa-miR-4312,663,1
"chr22|37618448,37620238,37620813,37621616,37623327,37623552|37618546,37620361,37620913,37621696,37623467,37623633|+",hsa-miR-139-3p,628,1
"chr5|230876,233477,235144,236428,240358|231000,233645,235339,236599,240476|+",hsa-miR-3190-5p,781,1
"chr20|49945382,49946191,49949248|49945418,49946250,49949355|+",hsa-miR-1250-5p,205,1
"chr5|32379115,32385508,32390420|32379210,32385582,32390437|-",hsa-miR-6734-3p,189,1
"chr7|30550636,30561466|30550781,30562128|-",hsa-miR-6809-3p,809,1
"chr14|67301389,67301972,67302410,67303522,67312527,67316832|67301466,67302118,67302571,67303599,67312710,67316903|+",hsa-miR-3127-3p,721,1
"chr12|113320331,113320581,113320850,113321056,113321196|113320498,113320686,113320907,113321108,113321348|-",hsa-miR-6801-5p,538,1
"chr2|69350078,69354489,69356496,69363545|69350183,69354568,69356528,69363670|-",hsa-miR-597-3p,345,1
"chr1|167365467,167370161,167371917,167374108,167376029,167383857|167365567,167370214,167372036,167374296,167376155,167383951|+",hsa-miR-4747-5p,686,1
"chr8|140830472,140846260,140846599,140864312,140879471,140890543|140830526,140846322,140846678,140864399,140879637,140890769|-",hsa-miR-6886-5p,680,1
"chr4|139060324,139061865,139067684,139071866,139073454|139060674,139062057,139067770,139072003,139073567|-",hsa-miR-509-5p,883,1
"chr7|92123120,92123734,92126253,92127505,92128880,92131774|92123315,92123853,92126427,92127631,92129056,92131872|-",hsa-miR-4490,894,1
"chr15|41476446,41477165,41477458|41476523,41477286,41477515|+",hsa-miR-4312,258,1
"chr13|98474821,98475250,98482265,98519243|98474978,98475358,98482321,98519473|-",hsa-miR-3190-5p,555,1
"chr7|22940972,22941166,22945636|22941083,22941248,22946163|-",hsa-miR-3925-3p,723,1
"chr5|39153448,39159848|39153604,39159920|-",hsa-miR-6779-5p,230,1
"chr9|124994667,124994934,124999891|124994793,124995015,124999990|-",hsa-miR-432-3p,309,1
"chr10|7367649,7381860|7367778,7381949|-",hsa-miR-302a-3p,220,1
"chr17|40053298,40053469|40053380,40053635|-",hsa-miR-6865-5p,250,1
"chr18|31585802,31591902,31592896,31595120,31598568,31604119|31585901,31591971,31593026,31595255,31598722,31604326|+",hsa-miR-3169,800,1
"chr17|81565505,81567417,81572017|81565607,81567466,81572088|-",hsa-miR-1909-3p,225,1
"chr8|119928400,119929815,119965232,120001525,120002977,120006805,120009029|119928578,119929938,119965410,120001710,120003111,120006875,120009133|+",hsa-miR-3667-3p,979,1
"chr19|43543391,43543612,43544144,43545818,43546052,43546595,43546884|43543505,43543687,43544234,43545957,43546106,43546727,43546977|-",hsa-miR-6805-5p,704,1
"chr19|36089038,36089185|36089105,36089306|+",hsa-miR-6769a-5p,190,1
"chr10|35483404,35501501,35516523,35525964,35529973,35530124|35483478,35501535,35516623,35525999,35530030,35530243|+",hsa-miR-181a-5p,425,1
"chr2|200597397,200599620,200602284,200603267,200604017,200604696,200605536|200597505,200599746,200602345,200603356,200604097,200604840,200605628|+",hsa-miR-3187-5p,707,1
"chr3|160521779,160525800,160525938,160527953|160521910,160525844,160526107,160528039|-",hsa-miR-4494,434,1
"chr15|90638446,90638735,90641097|90638646,90638815,90641199|+",hsa-miR-197-5p,385,1
"chr11|70343669,70348189,70349923,70350994,70354301|70343892,70348420,70350039,70351023,70354452|+",hsa-miR-6819-5p,755,1
"chr1|235148404,235152706,235154881,235160511,235160893,235161174|235148447,235152765,235155112,235160647,235161067,235161457|-",hsa-miR-6715b-5p,932,1
"chr2|203411285,203416908,203427177|203411371,203417081,203427269|+",hsa-miR-6865-5p,354,1
chr14|45246743|45247377|-,hsa-let-7b-5p,635,1
chr2|241140521|241140753|-,hsa-miR-3187-5p,233,1
"chr9|15423909,15433552,15444602,15447095,15451320,15453041|15423986,15433636,15444706,15447244,15451402,15453205|+",hsa-miR-3677-3p,666,1
"chr8|668598,673289|668792,674047|-",hsa-miR-877-3p,954,1
chr16|2253304|2254063|-,hsa-miR-668-5p,760,1
"chr12|68828771,68835829,68836672|68828931,68835984,68836749|+",hsa-miR-4755-3p,395,1
"chr17|37149864,37151301,37155683,37161781,37179256,37181201|37149974,37151421,37155780,37162050,37179406,37181356|-",hsa-miR-6831-5p,907,1
"chr15|88031917,88032857|88032079,88033045|-",hsa-miR-6893-5p,352,1
"chr1|154249239,154251041,154251481|154249437,154251318,154251653|+",hsa-miR-4656,650,1
chr10|116125221|116125557|-,hsa-miR-6715b-5p,337,1
"chr1|179662104,179663348,179669194|179662286,179663491,179669404|+",hsa-miR-6861-5p,538,1
"chr14|60115719,60115941,60118329|60115819,60116060,60118692|+",hsa-miR-6760-5p,585,1
"chr21|31700995,31701776,31702244,31703765,31705423,31706274|31701171,31701918,31702379,31703926,31705467,31706357|-",hsa-miR-6778-5p,747,1
"chr16|14079290,14140544|14079354,14140760|+",hsa-miR-6781-3p,282,1
"chr1|21001199,21002713,21050866,21089138|21001312,21002808,21050994,21089213|-",hsa-miR-6890-5p,415,1
"chr21|15762891,15765997,15777904,15791502,15797099,15799757|15762968,15766141,15778027,15791664,15797149,15799843|+",hsa-miR-4317,648,1
"chr8|102360071,102360589,102361125,102361582|102360190,102360665,102361206,102361626|-",hsa-miR-4722-3p,324,1
"chr22|32478981,32483897,32485068|32479275,32484124,32485209|+",hsa-miR-21-3p,665,1
"chr8|73688654,73709032,73738284|73688813,73709162,73738349|-",hsa-miR-103a-1-5p,357,1
"chr11|17105169,17110432,17112574|17105305,17110561,17112666|-",hsa-miR-6795-5p,360,1
"chr9|86016539,86018356,86018699|86016602,86018395,86018821|+",hsa-miR-4499,227,1
