isoform_ID,miRNA_ID,n_pos_nt,n_total_nt,pos_ratio
chr10|100536411|100536661|+,hsa-miR-6735-5p,34,251,0.13545816733067728
"chr10|100923975,100930988|100924496,100931078|+",hsa-miR-548ag,30,613,0.048939641109298535
"chr10|100937402,100938595,100944026,100945330,100947039,100947760,100950076,100950676|100937477,100938736,100944128,100945506,100947136,100947847,100950207,100950753|+",hsa-miR-6782-3p,33,894,0.03691275167785235
"chr10|101430345,101461981,101479368,101521639,101526013|101430452,101462058,101479457,101521870,101526199|+",hsa-miR-15a-5p,31,695,0.04460431654676259
"chr10|101430345,101461981,101479368,101521639,101526013|101430452,101462058,101479457,101521870,101526199|+",hsa-miR-497-5p,30,695,0.04316546762589928
"chr10|101430345,101461981,101479368,101521639,101526013|101430452,101462058,101479457,101521870,101526199|+",hsa-miR-4278,27,695,0.03884892086330935
"chr10|101453501,101461981,101479368|101453556,101462058,101479457|+",hsa-miR-4278,27,224,0.12053571428571429
"chr10|101515909,101521639,101526013|101516009,101521870,101526199|+",hsa-miR-15a-5p,31,520,0.05961538461538462
"chr10|101515909,101521639,101526013|101516009,101521870,101526199|+",hsa-miR-497-5p,30,520,0.057692307692307696
"chr10|101521639,101526013|101521870,101526199|+",hsa-miR-15a-5p,31,419,0.07398568019093078
"chr10|101521639,101526013|101521870,101526199|+",hsa-miR-497-5p,30,419,0.07159904534606205
"chr10|101798842,101807805|101798969,101807901|-",hsa-miR-1911-5p,32,225,0.14222222222222222
"chr10|101800242,101803735,101806045,101807730,101810184|101800400,101804019,101806143,101807901,101810314|-",hsa-miR-1911-5p,32,846,0.037825059101654845
"chr10|101800242,101803735,101806045,101807730,101810184|101800400,101804019,101806143,101807901,101810314|-",hsa-miR-4298,31,846,0.03664302600472813
"chr10|101800242,101803735,101806045,101807730,101810184|101800400,101804019,101806143,101807901,101810314|-",hsa-miR-6865-5p,33,846,0.03900709219858156
"chr10|101800242,101803735,101806045,101807730,101810184|101800400,101804019,101806143,101807901,101810314|-",hsa-miR-7855-5p,32,846,0.037825059101654845
"chr10|101800242,101803735,101806045,101807730|101800400,101804019,101806143,101807901|-",hsa-miR-1911-5p,32,715,0.044755244755244755
"chr10|101800242,101803735,101806045,101807730|101800400,101804019,101806143,101807901|-",hsa-miR-4298,31,715,0.043356643356643354
"chr10|101800242,101803735,101806045,101807730|101800400,101804019,101806143,101807901|-",hsa-miR-7855-5p,32,715,0.044755244755244755
"chr10|101800242,101807730|101800400,101807901|-",hsa-miR-1911-5p,32,331,0.09667673716012085
"chr10|101800242,101807730|101800400,101807901|-",hsa-miR-4298,31,331,0.09365558912386707
"chr10|101800242,101807730|101800400,101807901|-",hsa-miR-7855-5p,32,331,0.09667673716012085
chr10|101807730|101807901|-,hsa-miR-1911-5p,32,172,0.18604651162790697
chr10|101807730|101807901|-,hsa-miR-4298,28,172,0.16279069767441862
